timestamp,Sonar_normal,Sonar_abnormal,Thruster_normal,Thruster_abnormal
1774864601.915,0.000,1.000,1.000,0.000
1774864601.925,0.000,1.000,1.000,0.000
1774864601.936,0.000,1.000,1.000,0.000
1774864601.946,0.000,1.000,1.000,0.000
1774864601.956,0.000,1.000,1.000,0.000
1774864601.966,0.000,1.000,1.000,0.000
1774864601.977,0.000,1.000,1.000,0.000
1774864601.987,0.000,1.000,1.000,0.000
1774864601.997,0.000,1.000,1.000,0.000
1774864602.007,0.469,0.531,1.000,0.000
1774864602.018,0.000,1.000,0.775,0.225
1774864602.028,0.000,1.000,1.000,0.000
1774864602.038,0.000,1.000,1.000,0.000
1774864602.048,0.127,0.873,1.000,0.000
1774864602.059,0.041,0.959,1.000,0.000
1774864602.069,0.000,1.000,1.000,0.000
1774864602.079,0.000,1.000,1.000,0.000
1774864602.089,0.000,1.000,1.000,0.000
1774864602.100,0.000,1.000,1.000,0.000
1774864602.110,0.000,1.000,1.000,0.000
1774864602.120,0.000,1.000,1.000,0.000
1774864602.130,0.000,1.000,0.880,0.120
1774864602.141,0.000,1.000,0.647,0.353
1774864602.151,0.000,1.000,1.000,0.000
1774864602.161,0.000,1.000,0.890,0.110
1774864602.171,0.000,1.000,1.000,0.000
1774864602.182,0.000,1.000,0.423,0.577
1774864602.192,0.000,1.000,1.000,0.000
1774864602.202,0.000,1.000,0.694,0.306
1774864602.212,0.000,1.000,1.000,0.000
1774864602.223,0.000,1.000,1.000,0.000
1774864602.233,0.000,1.000,1.000,0.000
1774864602.243,0.000,1.000,1.000,0.000
1774864602.253,0.000,1.000,1.000,0.000
1774864602.264,0.000,1.000,1.000,0.000
1774864602.274,0.000,1.000,1.000,0.000
1774864602.284,0.000,1.000,1.000,0.000
1774864602.294,0.000,1.000,1.000,0.000
1774864602.305,0.000,1.000,1.000,0.000
1774864602.315,0.000,1.000,1.000,0.000
1774864602.325,0.000,1.000,1.000,0.000
1774864602.335,0.000,1.000,1.000,0.000
1774864602.346,0.000,1.000,1.000,0.000
1774864602.356,0.000,1.000,1.000,0.000
1774864602.366,0.000,1.000,0.950,0.050
1774864602.376,1.000,0.000,1.000,0.000
1774864602.387,1.000,0.000,0.984,0.016
1774864602.397,1.000,0.000,1.000,0.000
1774864602.407,1.000,0.000,1.000,0.000
1774864602.417,0.778,0.222,1.000,0.000
1774864602.428,1.000,0.000,1.000,0.000
1774864602.438,1.000,0.000,1.000,0.000
1774864602.448,1.000,0.000,0.302,0.698
1774864602.458,1.000,0.000,1.000,0.000
1774864602.469,1.000,0.000,1.000,0.000
1774864602.479,1.000,0.000,1.000,0.000
1774864602.489,1.000,0.000,1.000,0.000
1774864602.499,1.000,0.000,1.000,0.000
1774864602.510,1.000,0.000,1.000,0.000
1774864602.520,1.000,0.000,1.000,0.000
1774864602.530,1.000,0.000,1.000,0.000
1774864602.540,0.000,1.000,1.000,0.000
1774864602.551,0.000,1.000,1.000,0.000
1774864602.561,0.000,1.000,1.000,0.000
1774864602.571,0.000,1.000,1.000,0.000
1774864602.581,0.000,1.000,0.000,1.000
1774864602.592,0.000,1.000,0.779,0.221
1774864602.602,0.000,1.000,0.708,0.292
1774864602.612,0.000,1.000,1.000,0.000
1774864602.622,0.000,1.000,1.000,0.000
1774864602.633,0.000,1.000,1.000,0.000
1774864602.643,0.724,0.276,0.985,0.015
1774864602.653,1.000,0.000,1.000,0.000
1774864602.663,1.000,0.000,0.906,0.094
1774864602.674,1.000,0.000,0.684,0.316
