timestamp,Sonar_normal,Sonar_abnormal,Thruster_normal,Thruster_abnormal
1774921536.277,1.000,0.000,1.000,0.000
1774921536.287,0.958,0.042,1.000,0.000
1774921536.298,1.000,0.000,1.000,0.000
1774921536.308,1.000,0.000,1.000,0.000
1774921536.318,1.000,0.000,1.000,0.000
1774921536.328,1.000,0.000,1.000,0.000
1774921536.338,1.000,0.000,1.000,0.000
1774921536.348,1.000,0.000,1.000,0.000
1774921536.359,1.000,0.000,1.000,0.000
1774921536.369,1.000,0.000,1.000,0.000
1774921536.379,1.000,0.000,1.000,0.000
1774921536.389,1.000,0.000,1.000,0.000
1774921536.399,1.000,0.000,1.000,0.000
1774921536.409,1.000,0.000,0.509,0.491
1774921536.420,1.000,0.000,1.000,0.000
1774921536.430,1.000,0.000,1.000,0.000
1774921536.440,1.000,0.000,1.000,0.000
1774921536.450,1.000,0.000,1.000,0.000
1774921536.460,1.000,0.000,0.000,1.000
1774921536.471,1.000,0.000,0.000,1.000
1774921536.481,0.639,0.361,0.000,1.000
1774921536.491,1.000,0.000,0.000,1.000
1774921536.501,1.000,0.000,0.000,1.000
1774921536.511,0.744,0.256,0.000,1.000
1774921536.522,1.000,0.000,0.000,1.000
1774921536.532,1.000,0.000,0.000,1.000
1774921536.542,1.000,0.000,0.755,0.245
1774921536.552,1.000,0.000,0.944,0.056
1774921536.562,1.000,0.000,1.000,0.000
1774921536.572,1.000,0.000,0.000,1.000
1774921536.583,1.000,0.000,0.000,1.000
1774921536.593,0.878,0.122,0.000,1.000
1774921536.603,1.000,0.000,0.000,1.000
1774921536.613,1.000,0.000,0.000,1.000
1774921536.623,1.000,0.000,0.000,1.000
1774921536.633,0.975,0.025,0.000,1.000
1774921536.643,1.000,0.000,0.000,1.000
1774921536.654,0.926,0.074,0.000,1.000
1774921536.664,1.000,0.000,0.000,1.000
1774921536.674,1.000,0.000,0.000,1.000
1774921536.684,1.000,0.000,0.000,1.000
1774921536.695,0.575,0.425,0.000,1.000
1774921536.705,0.858,0.142,0.000,1.000
1774921536.715,1.000,0.000,0.000,1.000
1774921536.725,1.000,0.000,0.000,1.000
1774921536.735,1.000,0.000,0.000,1.000
1774921536.746,0.824,0.176,0.000,1.000
1774921536.756,1.000,0.000,0.000,1.000
1774921536.766,1.000,0.000,0.000,1.000
1774921536.776,1.000,0.000,0.000,1.000
1774921536.787,1.000,0.000,0.000,1.000
1774921536.797,0.992,0.008,0.000,1.000
1774921536.807,1.000,0.000,0.963,0.037
1774921536.817,1.000,0.000,1.000,0.000
1774921536.828,1.000,0.000,0.964,0.036
1774921536.838,0.815,0.185,1.000,0.000
1774921536.848,1.000,0.000,1.000,0.000
1774921536.858,1.000,0.000,1.000,0.000
1774921536.869,1.000,0.000,1.000,0.000
1774921536.879,0.942,0.058,1.000,0.000
1774921536.889,1.000,0.000,1.000,0.000
1774921536.899,1.000,0.000,0.830,0.170
1774921536.910,1.000,0.000,1.000,0.000
1774921536.920,1.000,0.000,0.000,1.000
1774921536.930,1.000,0.000,0.000,1.000
1774921536.940,1.000,0.000,0.279,0.721
1774921536.950,1.000,0.000,0.000,1.000
1774921536.960,1.000,0.000,0.000,1.000
1774921536.970,1.000,0.000,0.000,1.000
1774921536.981,1.000,0.000,0.000,1.000
1774921536.991,0.709,0.291,0.000,1.000
1774921537.001,1.000,0.000,0.000,1.000
1774921537.011,1.000,0.000,0.000,1.000
1774921537.021,1.000,0.000,0.000,1.000
1774921537.032,1.000,0.000,0.000,1.000
1774921537.042,1.000,0.000,0.000,1.000
1774921537.052,0.919,0.081,0.000,1.000
1774921537.062,1.000,0.000,0.000,1.000
1774921537.073,1.000,0.000,0.993,0.007
1774921537.083,0.998,0.002,1.000,0.000
1774921537.093,1.000,0.000,1.000,0.000
1774921537.103,1.000,0.000,1.000,0.000
1774921537.114,1.000,0.000,1.000,0.000
1774921537.124,1.000,0.000,1.000,0.000
1774921537.134,1.000,0.000,0.000,1.000
1774921537.145,1.000,0.000,0.000,1.000
1774921537.155,1.000,0.000,0.000,1.000
1774921537.165,1.000,0.000,0.000,1.000
1774921537.175,1.000,0.000,0.000,1.000
1774921537.186,1.000,0.000,0.000,1.000
1774921537.196,1.000,0.000,0.000,1.000
1774921537.206,1.000,0.000,0.000,1.000
1774921537.216,1.000,0.000,0.000,1.000
1774921537.227,1.000,0.000,0.000,1.000
1774921537.237,0.924,0.076,0.000,1.000
