timestamp,Sonar_normal,Sonar_abnormal,Thruster_normal,Thruster_abnormal
1774874686.777,0.689,0.311,1.000,0.000
1774874686.787,0.943,0.057,1.000,0.000
1774874686.797,1.000,0.000,1.000,0.000
1774874686.807,1.000,0.000,1.000,0.000
1774874686.817,0.503,0.497,1.000,0.000
1774874686.827,1.000,0.000,1.000,0.000
1774874686.838,0.928,0.072,1.000,0.000
1774874686.848,0.000,1.000,1.000,0.000
1774874686.858,0.000,1.000,1.000,0.000
1774874686.868,0.000,1.000,1.000,0.000
1774874686.878,0.000,1.000,1.000,0.000
1774874686.888,0.000,1.000,1.000,0.000
1774874686.899,1.000,0.000,0.433,0.567
1774874686.909,1.000,0.000,1.000,0.000
1774874686.919,0.000,1.000,1.000,0.000
1774874686.929,1.000,0.000,1.000,0.000
1774874686.939,1.000,0.000,1.000,0.000
1774874686.950,1.000,0.000,0.845,0.155
1774874686.960,1.000,0.000,1.000,0.000
1774874686.970,1.000,0.000,1.000,0.000
1774874686.980,1.000,0.000,1.000,0.000
1774874686.990,1.000,0.000,1.000,0.000
1774874687.001,1.000,0.000,1.000,0.000
1774874687.011,0.000,1.000,1.000,0.000
1774874687.021,1.000,0.000,1.000,0.000
1774874687.031,0.597,0.403,1.000,0.000
1774874687.041,1.000,0.000,1.000,0.000
1774874687.051,0.000,1.000,1.000,0.000
1774874687.062,0.000,1.000,1.000,0.000
1774874687.072,0.000,1.000,0.975,0.025
1774874687.082,0.000,1.000,1.000,0.000
1774874687.092,0.000,1.000,1.000,0.000
1774874687.102,0.000,1.000,1.000,0.000
1774874687.112,0.000,1.000,1.000,0.000
1774874687.123,0.000,1.000,1.000,0.000
1774874687.133,0.000,1.000,1.000,0.000
1774874687.143,0.000,1.000,1.000,0.000
1774874687.153,0.000,1.000,1.000,0.000
1774874687.163,0.000,1.000,1.000,0.000
1774874687.174,0.520,0.480,1.000,0.000
1774874687.184,0.000,1.000,1.000,0.000
1774874687.194,0.000,1.000,1.000,0.000
1774874687.204,0.000,1.000,1.000,0.000
1774874687.215,0.000,1.000,0.819,0.181
1774874687.225,0.000,1.000,1.000,0.000
1774874687.235,0.000,1.000,1.000,0.000
1774874687.245,0.000,1.000,0.898,0.102
1774874687.256,0.428,0.572,1.000,0.000
1774874687.266,1.000,0.000,0.551,0.449
1774874687.276,0.000,1.000,1.000,0.000
1774874687.286,0.000,1.000,1.000,0.000
1774874687.297,0.000,1.000,1.000,0.000
1774874687.307,0.000,1.000,1.000,0.000
1774874687.317,0.000,1.000,1.000,0.000
1774874687.327,0.000,1.000,1.000,0.000
1774874687.337,0.000,1.000,1.000,0.000
1774874687.348,0.000,1.000,1.000,0.000
1774874687.358,0.000,1.000,1.000,0.000
1774874687.368,0.000,1.000,1.000,0.000
1774874687.378,0.000,1.000,1.000,0.000
1774874687.389,1.000,0.000,1.000,0.000
1774874687.399,1.000,0.000,1.000,0.000
1774874687.409,0.982,0.018,1.000,0.000
1774874687.419,1.000,0.000,0.862,0.138
1774874687.430,1.000,0.000,1.000,0.000
1774874687.440,0.960,0.040,1.000,0.000
1774874687.450,0.759,0.241,1.000,0.000
1774874687.460,1.000,0.000,1.000,0.000
1774874687.471,1.000,0.000,1.000,0.000
1774874687.481,0.982,0.018,1.000,0.000
1774874687.491,1.000,0.000,1.000,0.000
1774874687.501,0.000,1.000,0.951,0.049
1774874687.511,1.000,0.000,1.000,0.000
1774874687.522,1.000,0.000,1.000,0.000
1774874687.532,1.000,0.000,1.000,0.000
1774874687.542,1.000,0.000,0.404,0.596
1774874687.552,1.000,0.000,1.000,0.000
1774874687.563,0.828,0.172,0.968,0.032
1774874687.573,1.000,0.000,1.000,0.000
1774874687.583,0.054,0.946,1.000,0.000
1774874687.593,0.000,1.000,1.000,0.000
1774874687.603,0.000,1.000,1.000,0.000
1774874687.614,0.000,1.000,0.954,0.046
1774874687.624,0.000,1.000,1.000,0.000
1774874687.634,1.000,0.000,1.000,0.000
1774874687.644,1.000,0.000,1.000,0.000
1774874687.654,1.000,0.000,1.000,0.000
1774874687.664,1.000,0.000,1.000,0.000
1774874687.674,1.000,0.000,0.669,0.331
1774874687.684,0.000,1.000,1.000,0.000
1774874687.695,0.000,1.000,1.000,0.000
1774874687.705,0.000,1.000,1.000,0.000
1774874687.715,0.000,1.000,1.000,0.000
1774874687.725,0.000,1.000,1.000,0.000
1774874687.735,0.000,1.000,1.000,0.000
1774874687.745,0.000,1.000,1.000,0.000
1774874687.755,1.000,0.000,1.000,0.000
1774874687.766,1.000,0.000,1.000,0.000
1774874687.776,1.000,0.000,0.962,0.038
1774874687.786,0.936,0.064,0.775,0.225
1774874687.796,1.000,0.000,1.000,0.000
1774874687.806,1.000,0.000,1.000,0.000
1774874687.817,1.000,0.000,1.000,0.000
1774874687.827,0.742,0.258,1.000,0.000
1774874687.837,1.000,0.000,1.000,0.000
1774874687.847,0.480,0.520,1.000,0.000
1774874687.858,0.000,1.000,1.000,0.000
1774874687.868,0.000,1.000,1.000,0.000
1774874687.878,1.000,0.000,1.000,0.000
1774874687.888,1.000,0.000,1.000,0.000
1774874687.899,1.000,0.000,0.902,0.098
1774874687.909,0.958,0.042,1.000,0.000
1774874687.919,1.000,0.000,1.000,0.000
1774874687.929,1.000,0.000,1.000,0.000
1774874687.940,0.000,1.000,1.000,0.000
1774874687.950,0.000,1.000,1.000,0.000
1774874687.960,0.000,1.000,0.533,0.467
1774874687.970,0.000,1.000,1.000,0.000
1774874687.981,0.000,1.000,1.000,0.000
1774874687.991,0.000,1.000,1.000,0.000
1774874688.001,1.000,0.000,1.000,0.000
1774874688.011,0.000,1.000,1.000,0.000
1774874688.021,0.442,0.558,1.000,0.000
1774874688.031,0.000,1.000,1.000,0.000
1774874688.041,0.000,1.000,1.000,0.000
1774874688.052,0.000,1.000,1.000,0.000
1774874688.062,0.000,1.000,1.000,0.000
1774874688.072,0.000,1.000,1.000,0.000
1774874688.082,0.000,1.000,1.000,0.000
1774874688.093,0.000,1.000,1.000,0.000
1774874688.103,0.000,1.000,1.000,0.000
1774874688.113,0.000,1.000,1.000,0.000
1774874688.123,0.000,1.000,1.000,0.000
1774874688.133,0.000,1.000,1.000,0.000
1774874688.144,0.000,1.000,1.000,0.000
1774874688.154,0.000,1.000,0.877,0.123
1774874688.164,0.026,0.974,1.000,0.000
1774874688.174,0.000,1.000,1.000,0.000
1774874688.185,0.000,1.000,1.000,0.000
1774874688.195,0.000,1.000,0.987,0.013
1774874688.205,0.000,1.000,1.000,0.000
1774874688.215,0.219,0.781,1.000,0.000
1774874688.226,0.000,1.000,1.000,0.000
1774874688.236,0.000,1.000,1.000,0.000
1774874688.246,1.000,0.000,1.000,0.000
1774874688.256,1.000,0.000,1.000,0.000
1774874688.267,1.000,0.000,1.000,0.000
1774874688.277,1.000,0.000,1.000,0.000
1774874688.287,1.000,0.000,1.000,0.000
