timestamp,Sonar_normal,Sonar_abnormal,Thruster_normal,Thruster_abnormal
1774877514.299,1.000,0.000,1.000,0.000
1774877514.309,1.000,0.000,1.000,0.000
1774877514.319,1.000,0.000,0.960,0.040
1774877514.329,0.937,0.063,0.900,0.100
1774877514.339,1.000,0.000,0.705,0.295
1774877514.349,0.890,0.110,1.000,0.000
1774877514.359,0.821,0.179,1.000,0.000
1774877514.370,1.000,0.000,1.000,0.000
1774877514.380,1.000,0.000,1.000,0.000
1774877514.390,1.000,0.000,1.000,0.000
1774877514.400,1.000,0.000,1.000,0.000
1774877514.410,1.000,0.000,0.777,0.223
1774877514.420,1.000,0.000,1.000,0.000
1774877514.431,1.000,0.000,1.000,0.000
1774877514.441,1.000,0.000,1.000,0.000
1774877514.451,1.000,0.000,1.000,0.000
1774877514.461,1.000,0.000,1.000,0.000
1774877514.471,1.000,0.000,1.000,0.000
1774877514.482,0.893,0.107,0.823,0.177
1774877514.492,1.000,0.000,1.000,0.000
1774877514.502,1.000,0.000,1.000,0.000
1774877514.512,0.940,0.060,0.887,0.113
1774877514.522,1.000,0.000,1.000,0.000
1774877514.533,0.966,0.034,0.979,0.021
1774877514.543,1.000,0.000,1.000,0.000
1774877514.553,0.002,0.998,1.000,0.000
1774877514.563,0.963,0.037,1.000,0.000
1774877514.573,1.000,0.000,0.720,0.280
1774877514.583,1.000,0.000,1.000,0.000
1774877514.593,0.000,1.000,0.709,0.291
1774877514.604,0.000,1.000,1.000,0.000
1774877514.614,0.000,1.000,1.000,0.000
1774877514.624,0.000,1.000,1.000,0.000
1774877514.634,0.000,1.000,0.640,0.360
1774877514.644,0.000,1.000,1.000,0.000
1774877514.654,0.000,1.000,0.641,0.359
1774877514.664,0.000,1.000,0.754,0.246
1774877514.675,0.000,1.000,0.683,0.317
1774877514.685,0.000,1.000,1.000,0.000
1774877514.695,0.000,1.000,1.000,0.000
1774877514.705,0.000,1.000,1.000,0.000
1774877514.716,0.000,1.000,1.000,0.000
1774877514.726,0.000,1.000,0.768,0.232
1774877514.736,0.000,1.000,1.000,0.000
1774877514.746,0.000,1.000,1.000,0.000
1774877514.757,0.000,1.000,1.000,0.000
1774877514.767,0.000,1.000,0.633,0.367
1774877514.777,0.000,1.000,1.000,0.000
1774877514.787,0.000,1.000,1.000,0.000
1774877514.797,0.000,1.000,1.000,0.000
1774877514.808,0.000,1.000,1.000,0.000
1774877514.818,0.000,1.000,1.000,0.000
1774877514.828,1.000,0.000,1.000,0.000
1774877514.838,1.000,0.000,1.000,0.000
1774877514.849,1.000,0.000,1.000,0.000
1774877514.859,1.000,0.000,1.000,0.000
1774877514.869,0.802,0.198,0.589,0.411
1774877514.879,1.000,0.000,1.000,0.000
1774877514.890,1.000,0.000,1.000,0.000
1774877514.900,1.000,0.000,1.000,0.000
1774877514.910,1.000,0.000,1.000,0.000
1774877514.920,0.000,1.000,0.439,0.561
1774877514.931,0.000,1.000,1.000,0.000
1774877514.941,0.000,1.000,1.000,0.000
1774877514.951,0.000,1.000,1.000,0.000
1774877514.961,0.000,1.000,1.000,0.000
1774877514.971,0.000,1.000,1.000,0.000
1774877514.982,0.000,1.000,1.000,0.000
1774877514.992,0.000,1.000,1.000,0.000
1774877515.002,0.000,1.000,1.000,0.000
1774877515.012,0.000,1.000,1.000,0.000
1774877515.023,0.000,1.000,1.000,0.000
1774877515.033,0.000,1.000,1.000,0.000
1774877515.043,0.000,1.000,1.000,0.000
1774877515.053,0.000,1.000,1.000,0.000
1774877515.064,0.000,1.000,1.000,0.000
1774877515.074,0.000,1.000,1.000,0.000
1774877515.084,0.000,1.000,1.000,0.000
1774877515.094,1.000,0.000,1.000,0.000
1774877515.104,1.000,0.000,1.000,0.000
1774877515.115,1.000,0.000,1.000,0.000
1774877515.125,1.000,0.000,1.000,0.000
1774877515.135,1.000,0.000,1.000,0.000
1774877515.145,1.000,0.000,1.000,0.000
1774877515.156,1.000,0.000,1.000,0.000
1774877515.166,1.000,0.000,1.000,0.000
1774877515.176,1.000,0.000,1.000,0.000
1774877515.186,0.977,0.023,0.881,0.119
1774877515.197,1.000,0.000,1.000,0.000
1774877515.207,1.000,0.000,0.643,0.357
1774877515.217,1.000,0.000,1.000,0.000
1774877515.227,0.918,0.082,1.000,0.000
1774877515.238,0.925,0.075,1.000,0.000
1774877515.248,1.000,0.000,1.000,0.000
1774877515.258,0.848,0.152,1.000,0.000
1774877515.268,1.000,0.000,0.762,0.238
1774877515.279,1.000,0.000,1.000,0.000
1774877515.289,1.000,0.000,1.000,0.000
1774877515.299,0.965,0.035,1.000,0.000
1774877515.309,1.000,0.000,1.000,0.000
1774877515.320,1.000,0.000,1.000,0.000
1774877515.330,0.000,1.000,1.000,0.000
1774877515.340,0.000,1.000,1.000,0.000
1774877515.350,0.149,0.851,1.000,0.000
1774877515.361,1.000,0.000,1.000,0.000
1774877515.371,0.776,0.224,0.805,0.195
1774877515.381,1.000,0.000,1.000,0.000
1774877515.391,1.000,0.000,1.000,0.000
1774877515.402,1.000,0.000,1.000,0.000
1774877515.412,1.000,0.000,1.000,0.000
1774877515.422,1.000,0.000,1.000,0.000
1774877515.432,1.000,0.000,1.000,0.000
1774877515.443,0.508,0.492,1.000,0.000
1774877515.453,1.000,0.000,1.000,0.000
1774877515.463,1.000,0.000,1.000,0.000
1774877515.473,1.000,0.000,1.000,0.000
1774877515.484,1.000,0.000,1.000,0.000
1774877515.494,1.000,0.000,1.000,0.000
1774877515.504,1.000,0.000,1.000,0.000
1774877515.514,0.503,0.497,1.000,0.000
1774877515.525,0.956,0.044,1.000,0.000
1774877515.535,1.000,0.000,1.000,0.000
1774877515.545,0.000,1.000,1.000,0.000
1774877515.555,0.000,1.000,1.000,0.000
1774877515.566,0.000,1.000,1.000,0.000
1774877515.576,0.036,0.964,1.000,0.000
1774877515.586,0.000,1.000,1.000,0.000
1774877515.596,0.000,1.000,1.000,0.000
1774877515.607,0.000,1.000,1.000,0.000
1774877515.617,0.000,1.000,1.000,0.000
1774877515.627,0.942,0.058,1.000,0.000
1774877515.637,1.000,0.000,1.000,0.000
1774877515.648,1.000,0.000,1.000,0.000
1774877515.658,1.000,0.000,1.000,0.000
1774877515.668,1.000,0.000,1.000,0.000
